role,materials
supervisor,"- Check de AST y permiso de trabajo\n- Radio VHF / teléfono cargado\n- Chaleco salvavidas en embarque\n- Casco, antiparras y guantes\n- Botiquín, oxígeno y listado de emergencia\n- Validar compresor, mangueras y bitácora"
operaciones,"- Traje, capucha, guantes y botas\n- Máscara, regulador / narguilé según faena\n- Cuchillo o corta cabos\n- Lastre y sistema de flotabilidad\n- Equipo de comunicación\n- Hidrolavadora / herramientas específicas según tarea"
